ELEMENT,MOL,RESIDUE_NUM,X,Y,Z
OW,HOH,1,5.92487,5.92487,5.92487
HW1,HOH,1,5.772568756748187,5.145594168909273,6.45943339884228
HW2,HOH,1,5.986391965045634,5.593144990240997,5.029094701603515
MW,HOH,1,5.913249157137617,5.78264848814609,5.878630518835494
OW,HOH,2,5.32179,5.32179,8.5662
HW1,HOH,2,4.412617051656902,5.589359841025161,8.70050690218633
HW2,HOH,2,5.656067179979174,5.156607193082971,9.447789062400494
MW,HOH,2,5.248196405531973,5.334896775665407,8.696246940251926
OW,HOH,3,7.66071,4.2387,9.64929
HW1,HOH,3,7.732800153926121,3.4209229002956705,9.157081210352676
HW2,HOH,3,6.832204686450783,4.161766865894809,10.122457678627216
MW,HOH,3,7.563879733419342,4.124166295393411,9.646852508058421
OW,HOH,4,9.64929,4.2387,7.66071
HW1,HOH,4,9.528520599385036,3.5764559735329993,6.980211987009603
HW2,HOH,4,10.409433071742928,4.743693748422228,7.371929750094134
MW,HOH,4,9.731137543947723,4.218570067185664,7.536630688007037
OW,HOH,5,8.5662,5.32179,5.32179
HW1,HOH,5,7.734567649278717,5.779412957252579,5.445064487746642
HW2,HOH,5,8.409787151698989,4.442668043666459,5.6666230275345635
MW,HOH,5,8.439718293759821,5.267833042732213,5.381713409673166
OW,HOH,6,4.2387,7.66071,9.64929
HW1,HOH,6,3.8337374730225147,6.9295382841498006,10.115786668138892
HW2,HOH,6,4.014468193465472,7.512896075899472,8.73054163696458
MW,HOH,6,4.158155534080828,7.54818923312456,9.591396326636545
OW,HOH,7,4.20371,9.63809,7.64989
HW1,HOH,7,4.793007640839875,9.37805296842141,8.357944658912963
HW2,HOH,7,4.72549468037443,9.536485803617191,6.85387243172405
MW,HOH,7,4.345941942323637,9.591795559619525,7.638629686329035
OW,HOH,8,5.26439,8.54844,5.30462
HW1,HOH,8,6.1103711688528355,8.460361219335061,5.74370215056293
HW2,HOH,8,4.924226733689765,7.6549552988354,5.257592475740702
MW,HOH,8,5.329140794218447,8.42278803176241,5.354807722305931
OW,HOH,9,7.59104,9.68721,4.25266
HW1,HOH,9,7.906870810213746,9.037482694838696,3.6246859382366514
HW2,HOH,9,6.674605507113037,9.453204610073284,4.399669652173789
MW,HOH,9,7.514155482334397,9.574081552793768,4.191090752736933
OW,HOH,10,9.65672,7.66856,4.2634
HW1,HOH,10,9.063733732654748,7.539400534786008,5.003618954016702
HW2,HOH,10,10.066224586457182,6.81342886433015,4.131909932015669
MW,HOH,10,9.633232131139847,7.542558927620768,4.341324641726153
OW,HOH,11,11.38513,11.38513,5.92487
HW1,HOH,11,11.642527150410043,10.527634750747437,5.586217432063372
HW2,HOH,11,12.17512584156585,11.723793675797484,6.346109858398993
MW,HOH,11,11.519208939769362,11.318713298894817,5.935442169594842
OW,HOH,12,11.98821,11.98821,8.5662
HW1,HOH,12,11.627602700190346,11.789057749824304,9.430221646704496
HW2,HOH,12,12.026997677420589,12.94417421715068,8.536864338974443
MW,HOH,12,11.947013205580456,12.08509106270918,8.673049876653323
OW,HOH,13,9.64929,13.0713,9.64929
HW1,HOH,13,10.037640171851239,13.693298137842357,9.034036441177497
HW2,HOH,13,8.78192960942461,12.886959335566633,9.288816546473713
MW,HOH,13,9.58797091274502,13.127325436933766,9.524385170272952
OW,HOH,14,7.66071,13.0713,7.66071
HW1,HOH,14,6.843285531703686,13.541462860614836,7.496423692509195
HW2,HOH,14,7.742862870016262,13.05876015661783,8.614293280094632
MW,HOH,14,7.5665863643683196,13.129881267427486,7.761749535361263
OW,HOH,15,8.7438,11.98821,5.32179
HW1,HOH,15,9.034725973699045,11.533064067668459,4.531581302054125
HW2,HOH,15,7.996833067474522,11.476462090552111,5.632245541727302
